device_id,device_name,id,datetime,visitor_id,device_type,revenue,tax
1,Desktop,1,2019-10-05 00:00:00,1016870803637,1,73.08924317207791,0.19
1,Desktop,22,2019-10-16 00:00:00,24012466194495,1,113.72159962590308,0.19
1,Desktop,23,2019-09-19 00:00:00,17029684917498,1,270.31875178515816,0.07
1,Desktop,32,2019-09-12 00:00:00,2086917030708,1,219.03229848608277,0.19
1,Desktop,41,2019-09-01 00:00:00,5912788198719,1,2.175487172287878,0.19
1,Desktop,43,2019-08-11 00:00:00,32541817151812,1,141.90970715428895,0.07
1,Desktop,45,2019-09-14 00:00:00,47447038460279,1,419.136272399687,0.07
1,Desktop,50,2019-08-30 00:00:00,98117926509986,1,249.04221983152604,0.19
1,Desktop,58,2019-10-12 00:00:00,51770556649116,1,224.91030255845928,0.19
1,Desktop,59,2019-10-22 00:00:00,62376855740939,1,232.84877266464673,0.19
1,Desktop,60,2019-10-31 00:00:00,63263969223132,1,368.7748160644058,0.19
1,Desktop,64,2019-10-23 00:00:00,26405162744862,1,176.0364475044834,0.19
1,Desktop,67,2019-08-23 00:00:00,4876869989137,1,41.93380954990101,0.19
1,Desktop,69,2019-09-16 00:00:00,71533889310724,1,257.32887493085605,0.07
1,Desktop,72,2019-09-29 00:00:00,72306775690261,1,129.3801502095073,0.07
1,Desktop,82,2019-10-08 00:00:00,18631966576892,1,74.66242905503317,0.07
1,Desktop,85,2019-09-23 00:00:00,90406081566701,1,179.9667697508114,0.07
1,Desktop,91,2019-09-03 00:00:00,22505388009858,1,4.144964753008953,0.07
1,Desktop,92,2019-10-04 00:00:00,38716489905123,1,11.135538290821483,0.07
1,Desktop,93,2019-10-18 00:00:00,53802011890484,1,137.24653107939653,0.07
1,Desktop,99,2019-10-18 00:00:00,48585243503879,1,84.76570016181915,0.19
1,Desktop,101,2019-10-01 00:00:00,9281408126544,1,185.69904869043634,0.07
1,Desktop,105,2019-08-10 00:00:00,16017849869680,1,159.69508099648223,0.07
1,Desktop,108,2019-08-19 00:00:00,80913862475882,1,312.12299078865465,0.07
1,Desktop,109,2019-10-10 00:00:00,4018486171538,1,232.07499613662614,0.19
1,Desktop,116,2019-09-30 00:00:00,11071240449757,1,35.378498766257444,0.19
1,Desktop,119,2019-08-30 00:00:00,24371325021137,1,401.60201167664275,0.19
1,Desktop,123,2019-08-26 00:00:00,70302616411659,1,419.64628051298604,0.19
1,Desktop,124,2019-08-19 00:00:00,33473130421512,1,32.754981133352395,0.07
1,Desktop,140,2019-08-15 00:00:00,26379414989804,1,65.18981446147677,0.19
1,Desktop,149,2019-09-17 00:00:00,78033327432238,1,153.60453061976594,0.07
1,Desktop,152,2019-10-18 00:00:00,17074544653216,1,345.0012608299857,0.07
1,Desktop,153,2019-10-26 00:00:00,46867499719996,1,356.6438557240508,0.19
1,Desktop,155,2019-08-06 00:00:00,29338400618673,1,92.38331330570477,0.19
1,Desktop,159,2019-08-11 00:00:00,72714931690865,1,368.66818837291953,0.19
1,Desktop,160,2019-10-24 00:00:00,99094913875672,1,138.55134953361562,0.19
1,Desktop,162,2019-10-21 00:00:00,12832092260284,1,37.15766277765767,0.19
